STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,FREQ,Fréquence d'observation,MEASURE,Mesure,UNIT_MEASURE,Unité de mesure,EXPEND_SOURCE,Source des dépenses,SPENDING_TYPE,Type de dépenses,PROGRAMME_TYPE,Type de programme,PRICE_BASE,Type de prix,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,DECIMALS,Décimales,CURRENCY,Monnaie,BASE_PER,Période de base
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,BGR,Bulgarie,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2011,,15.477,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,BGR,Bulgarie,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2012,,16.455,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,BGR,Bulgarie,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2013,,17.75,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,BGR,Bulgarie,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2014,,18.419,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,KOR,Corée,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2004,,5.185,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,KOR,Corée,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2005,,5.507,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,KOR,Corée,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2006,,6.272,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,KOR,Corée,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2007,,6.342,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,KOR,Corée,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2008,,6.806,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,KOR,Corée,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2009,,7.589,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,KOR,Corée,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2010,,7.373,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,KOR,Corée,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2011,,7.337,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,KOR,Corée,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2012,,7.825,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,KOR,Corée,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2013,,8.297,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,KOR,Corée,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2014,,8.633,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,KOR,Corée,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2015,,9.052,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,KOR,Corée,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2016,,9.247,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,KOR,Corée,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2017,,9.473,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,KOR,Corée,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2018,,10.172,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,KOR,Corée,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2019,,11.423,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,KOR,Corée,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2020,,14.876,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,KOR,Corée,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2021,,15.222,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,KOR,Corée,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2022,,16.235,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,KOR,Corée,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2023,,15.359,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,KOR,Corée,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2024,,15.326,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,ISL,Islande,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2000,,14.462,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,ISL,Islande,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2001,,14.482,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,ISL,Islande,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2002,,15.808,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,ISL,Islande,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2003,,16.732,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,ISL,Islande,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2004,,16.492,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,ISL,Islande,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2005,,15.618,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,ISL,Islande,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2006,,14.977,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,ISL,Islande,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2007,,15.825,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,ISL,Islande,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2008,,16.15,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,ISL,Islande,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2009,,18.491,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,ISL,Islande,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2010,,17.732,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,ISL,Islande,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2011,,18.198,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,ISL,Islande,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2012,,17.844,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,ISL,Islande,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2013,,17.376,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,ISL,Islande,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2014,,17.573,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,LVA,Lettonie,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2000,,15.701,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,LVA,Lettonie,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2001,,14.619,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,LVA,Lettonie,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2002,,14.259,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,LVA,Lettonie,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2003,,13.479,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,LVA,Lettonie,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2004,,13.575,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,LVA,Lettonie,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2005,,12.72,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,LVA,Lettonie,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2006,,12.758,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,LVA,Lettonie,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2007,,11.636,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,LVA,Lettonie,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2008,,13.573,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,LVA,Lettonie,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2009,,18.417,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,LVA,Lettonie,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2010,,19.533,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,LVA,Lettonie,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2011,,17.514,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,LVA,Lettonie,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2012,,15.918,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,LVA,Lettonie,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2013,,16.1,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,LVA,Lettonie,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2014,,15.941,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
