STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,MEASURE,Mesure,UNIT_MEASURE,Unité de mesure,STATISTICAL_OPERATION,Opération statistique,OWNERSHIP_TYPE,Type d'hôpital,HEALTH_FUNCTION,Fonction de soins de santé,CARE_TYPE,Type de soins,MEDICAL_TECH,Technologie médicale,HEALTH_CARE_PROVIDER,Fournisseur de soins de santé,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,DECIMALS,Décimales,OBS_STATUS,Statut d'observation,OBS_STATUS2,Statut d'observation 2,OBS_STATUS3,Statut d'observation 3,UNIT_MULT,Multiplicateur d'unité,REF_YEAR_PRICE,Prix ​​année de référence
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,POL,Pologne,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2019,,6.17,,,,B,Rupture de série,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,SVK,République slovaque,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2018,,5.7,,,,B,Rupture de série,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,ESP,Espagne,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2010,,3.12,,,,B,Rupture de série,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,SWE,Suède,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2001,,3.27,,,,B,Rupture de série,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,SWE,Suède,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2012,,2.66,,,,B,Rupture de série,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,TUR,Türkiye,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2000,,2.05,,,,B,Rupture de série,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,TUR,Türkiye,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2002,,2.49,,,,B,Rupture de série,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,GBR,Royaume-Uni,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2010,,2.93,,,,B,Rupture de série,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,USA,États-Unis,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2017,,2.86,,,,B,Rupture de série,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,BRA,Brésil,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2005,,2.52,,,,B,Rupture de série,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,HRV,Croatie,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2009,,5.53,,,,B,Rupture de série,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,IND,Inde,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2005,,0.41,,,,B,Rupture de série,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,RUS,Russie,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2014,,8.65,,,,B,Rupture de série,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,AUS,Australie,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2012,,3.75,,,,E,Valeur estimée,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,CRI,Costa Rica,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2022,,1.12,,,,E,Valeur estimée,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,GBR,Royaume-Uni,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2018,,2.5,,,,E,Valeur estimée,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,GBR,Royaume-Uni,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2019,,2.46,,,,E,Valeur estimée,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,GBR,Royaume-Uni,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2020,,2.44,,,,E,Valeur estimée,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,GBR,Royaume-Uni,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2021,,2.43,,,,E,Valeur estimée,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,GBR,Royaume-Uni,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2022,,2.44,,,,E,Valeur estimée,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,CHE,Suisse,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2000,,6.29,,,,E,Valeur estimée,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,CHE,Suisse,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2001,,6.04,,,,E,Valeur estimée,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,CHE,Suisse,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2002,,5.95,,,,E,Valeur estimée,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,FIN,Finlande,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2000,,7.54,,,,E,Valeur estimée,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,FIN,Finlande,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2001,,7.46,,,,E,Valeur estimée,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,FIN,Finlande,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2002,,7.35,,,,E,Valeur estimée,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,FIN,Finlande,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2003,,7.24,,,,E,Valeur estimée,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,FIN,Finlande,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2004,,7.1,,,,E,Valeur estimée,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,FIN,Finlande,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2005,,7.05,,,,E,Valeur estimée,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,FIN,Finlande,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2006,,6.99,,,,E,Valeur estimée,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_FUNC(1.0),Lits en hôpitaux par fonction de soins de santé,I,FIN,Finlande,HB,Lits d'hôpitaux,10P3HB,Pour 1 000 habitants,_Z,Not applicable​​,_Z,Sans objet,_T,Total,_T,Total,_Z,Sans objet,_Z,Non applicable,2007,,6.73,,,,E,Valeur estimée,,,,,,,,
